"","Parameter","Value","Time","Comment","ID","Label","Item","Group"
"1","answer","0","1529446548139","NULL","JeremyTesting","rating","oasis","any"
"2","answer","1","1529446549561","NULL","JeremyTesting","rating","drinks","any"
"3","alternative","cold","None","NULL","JeremyTesting","input","warm","any"
"4","alternative","dry","None","NULL","JeremyTesting","input","damp","any"
"5","answer","0","1529447952479","NULL","ID","rating","oasis","either"
"6","answer","0","1529447953631","NULL","ID","rating","drinks","either"
"7","alternative","sad","None","NULL","ID","input","damp","either"
"8","alternative","worm","None","NULL","ID","input","warm","either"
"9","answer","2","1529447987765","NULL","TestJeremy","rating","drinks","any"
"10","answer","1","1529447992049","NULL","TestJeremy","rating","oasis","any"
"11","alternative","windy","1529447998196","NULL","TestJeremy","input","warm","any"
"12","alternative","old","None","NULL","TestJeremy","input","damp","any"
"13","answer","2","1529448018415","NULL","JeremyTheAwesomeTester","rating","oasis","either"
"14","answer","2","1529448020126","NULL","JeremyTheAwesomeTester","rating","drinks","either"
"15","alternative","chilly","None","NULL","JeremyTheAwesomeTester","input","warm","either"
"16","alternative","surprisingly dry","None","NULL","JeremyTheAwesomeTester","input","damp","either"
"17","answer","0","1529448050817","NULL","JeremyTheBitterTester","rating","oasis","any"
"18","answer","0","1529448052465","NULL","JeremyTheBitterTester","rating","drinks","any"
"19","alternative","absurd","None","NULL","JeremyTheBitterTester","input","damp","any"
"20","alternative","nothing","None","NULL","JeremyTheBitterTester","input","warm","any"
